id,name,artist_id,artist,playlist_id,playlist,genres,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,key,mode,time_signature
6hTcuIQa0sxrrByu9wTD7s,Born to Run,3eqjTLE0HfPfh78zjh6TqT,Bruce Springsteen,37i9dQZF1DWXRqgorJj26U,Rock Classics,"heartland rock,mellow gold,permanent wave,rock,singer-songwriter",0.27,0.944,-4.199,0.0975,0.00501,2.05e-05,0.116,0.606,146.347,269920,4,1,4
6QewNVIDKdSl8Y3ycuHIei,Even Flow,1w5Kfo2jwwIPruYS2UWh56,Pearl Jam,37i9dQZF1DWXRqgorJj26U,Rock Classics,"alternative metal,alternative rock,grunge,permanent wave,rock",0.394,0.944,-6.506,0.0761,0.00178,4.54e-06,0.298,0.265,105.338,292581,10,0,4
1CM1wOqD2AIjt2MWd31LV2,Solsbury Hill,7C4sUpWGlTy7IANjruj02I,Peter Gabriel,37i9dQZF1DWXRqgorJj26U,Rock Classics,"album rock,art rock,classic rock,mellow gold,new romantic,new wave,permanent wave,progressive rock,rock,singer-songwriter,soft rock",0.683,0.63,-8.844,0.0296,0.363,0.000873,0.314,0.481,102.457,261440,11,1,1
549Go7a66CX6k523uK9kUv,"Girls, Girls, Girls",0cc6vw3VN8YlIcvr1v7tBL,Mötley Crüe,37i9dQZF1DWXRqgorJj26U,Rock Classics,"album rock,alternative metal,glam metal,hard rock,metal,rock,sleaze rock",0.599,0.931,-4.653,0.0735,0.0302,6.69e-05,0.392,0.536,140.123,270427,7,1,4
3EYOJ48Et32uATr9ZmLnAo,Roxanne,5NGO30tJxFlKixkPSgXcFE,The Police,37i9dQZF1DWXRqgorJj26U,Rock Classics,"album rock,classic rock,permanent wave,rock",0.618,0.748,-8.905,0.358,0.0384,4.1e-06,0.0473,0.663,134.114,191947,0,1,4
0uppYCG86ajpV2hSR3dJJ0,Give It Away,0L8ExT028jH3ddEcZwqJJ5,Red Hot Chili Peppers,37i9dQZF1DWXRqgorJj26U,Rock Classics,"alternative rock,funk metal,funk rock,permanent wave,rock",0.666,0.936,-9.919,0.0476,0.00244,0.086,0.153,0.776,91.577,282907,7,1,4
5HNCy40Ni5BZJFw1TKzRsC,Comfortably Numb,0k17h0D3J5VfsdmQ1iZtE9,Pink Floyd,37i9dQZF1DWXRqgorJj26U,Rock Classics,"album rock,art rock,classic rock,progressive rock,psychedelic rock,rock,symphonic rock",0.472,0.366,-12.595,0.0286,0.15,0.312,0.0837,0.171,127.163,382297,11,0,4
4P5KoWXOxwuobLmHXLMobV,Come As You Are,6olE6TJLqED3rqDCT0FyPh,Nirvana,37i9dQZF1DWXRqgorJj26U,Rock Classics,"grunge,permanent wave,rock",0.5,0.824,-5.846,0.0388,0.00016,0.00161,0.0916,0.539,120.125,218920,4,0,4
5UwbnHhjnbinJH8TefuQfN,Long Cool Woman (In a Black Dress) - 1999 Remaster,6waa8mKu91GjzD4NlONlNJ,The Hollies,37i9dQZF1DWXRqgorJj26U,Rock Classics,"album rock,british invasion,classic rock,folk rock,mellow gold,merseybeat,soft rock",0.757,0.868,-9.326,0.062,0.411,0.00221,0.355,0.815,138.923,199200,9,1,4
254bXAqt3zP6P50BdQvEsq,Everywhere - 2017 Remaster,08GQAI4eElDnROBrJRGE0X,Fleetwood Mac,37i9dQZF1DWXRqgorJj26U,Rock Classics,"album rock,classic rock,rock,soft rock,yacht rock",0.73,0.487,-10.991,0.0303,0.258,0.01,0.0852,0.731,114.965,226653,4,1,4
6H3kDe7CGoWYBabAeVWGiD,Gimme Shelter,22bE4uQ6baNwSHPVcDxLCe,The Rolling Stones,37i9dQZF1DWXRqgorJj26U,Rock Classics,"album rock,british invasion,classic rock,rock",0.634,0.63,-8.277,0.031,0.447,0.039,0.17,0.489,118.628,270773,1,0,4
